date,region,search_interest,delivery_orders,ride_requests,freelance_jobs,active_users,urban_activity
2023-01-01,Dammam,34.0,3037,3724,183,14033,39.3
2023-01-01,Jeddah,41.9,3732,4835,246,17628,49.0
2023-01-01,Madinah,30.5,2633,3529,175,12823,30.1
2023-01-01,Makkah,35.1,,4309,190,14539,40.2
2023-01-01,Riyadh,46.3,4265,5530,290,19605,47.4
2023-01-02,Dammam,33.0,3170,4052,199,14389,37.6
2023-01-02,Jeddah,42.8,3520,5156,230,17320,45.1
2023-01-02,Madinah,27.6,2499,3616,,12638,34.0
2023-01-02,Makkah,33.8,3098,4063,215,14615,44.6
2023-01-02,Riyadh,48.4,3924,4699,268,18697,54.9
2023-01-03,Dammam,34.0,2915,3776,185,14661,35.3
2023-01-03,Jeddah,41.3,,4820,256,18043,52.4
2023-01-03,Madinah,28.0,2747,3709,172,12476,32.7
2023-01-03,Makkah,35.0,3387,4006,205,13218,36.6
2023-01-03,Riyadh,50.8,4298,5107,270,20946,47.7
2023-01-04,Dammam,31.8,2825,3878,212,14570,38.1
2023-01-04,Jeddah,44.3,3802,5497,240,19130,46.4
2023-01-04,Madinah,32.1,2514,3378,187,11973,31.7
2023-01-04,Makkah,30.2,3385,4333,202,14321,39.2
2023-01-04,Riyadh,50.0,4561,5683,262,20918,53.5
2023-01-05,Dammam,42.9,3220,4900,202,17925,45.1
2023-01-05,Jeddah,55.5,4578,6292,,20484,55.5
2023-01-05,Madinah,33.1,3233,3711,169,14766,40.2
2023-01-05,Makkah,,3717,4585,212,17385,52.0
2023-01-05,Riyadh,55.8,4735,6695,259,24695,61.8
2023-01-06,Dammam,39.5,4050,4700,192,16550,47.2
2023-01-06,Jeddah,46.8,4815,5855,257,22247,56.5
2023-01-06,Madinah,34.9,3061,4318,180,13692,39.6
2023-01-06,Makkah,41.9,3962,5320,,15789,47.3
2023-01-06,Riyadh,60.3,5110,6175,288,24214,63.7
2023-01-07,Dammam,33.0,3458,,204,13698,36.6
2023-01-07,Jeddah,42.7,3694,5062,262,16792,47.3
2023-01-07,Madinah,28.0,2706,3424,176,10798,36.5
2023-01-07,Makkah,39.4,3260,4780,205,15265,38.3
2023-01-07,Riyadh,46.6,,5770,280,19043,54.2
2023-01-08,Dammam,29.9,2969,4232,202,12335,36.8
2023-01-08,Jeddah,,3707,5092,257,18931,45.6
2023-01-08,Madinah,29.3,2782,3610,169,11523,31.1
2023-01-08,Makkah,38.4,3684,4362,214,13860,37.5
2023-01-08,Riyadh,46.7,4811,5287,286,23758,49.9
2023-01-09,Dammam,35.1,3143,4733,196,14520,37.6
2023-01-09,Jeddah,41.8,4070,4841,236,16887,50.7
2023-01-09,Madinah,30.7,2486,3021,154,12346,32.5
2023-01-09,Makkah,35.0,3727,4609,193,,40.6
2023-01-09,Riyadh,44.0,4531,4854,276,20539,57.5
2023-01-10,Dammam,32.1,2952,3438,199,14233,36.2
2023-01-10,Jeddah,44.2,4028,4911,268,17484,44.6
2023-01-10,Madinah,,2504,3473,,13794,34.6
2023-01-10,Makkah,34.0,3351,4670,212,14566,38.2
2023-01-10,Riyadh,48.3,4168,5230,248,20428,54.0
2023-01-11,Dammam,33.2,3150,4051,173,13070,38.7
2023-01-11,Jeddah,,4314,5145,220,18244,45.4
2023-01-11,Madinah,32.3,2755,3266,196,12921,29.1
2023-01-11,Makkah,38.3,3658,4700,185,15744,35.1
2023-01-11,Riyadh,50.4,4190,5882,263,20442,54.2
2023-01-12,Dammam,40.8,3643,4414,219,17392,43.3
2023-01-12,Jeddah,50.3,5049,5590,252,21125,52.8
2023-01-12,Madinah,36.0,3186,4334,,15437,40.3
2023-01-12,Makkah,40.4,3698,5383,210,18279,46.4
2023-01-12,Riyadh,57.1,4948,6729,275,25673,57.2
2023-01-13,Dammam,39.1,3304,4616,202,16173,41.8
2023-01-13,Jeddah,49.3,4991,6698,250,18967,53.9
2023-01-13,Madinah,33.4,3307,4332,183,15968,37.6
2023-01-13,Makkah,40.2,4304,4973,202,17421,49.7
2023-01-13,Riyadh,55.8,4916,6318,271,22356,65.9
2023-01-14,Dammam,29.1,3147,4020,191,14998,38.6
2023-01-14,Jeddah,39.0,4003,4813,236,17060,47.5
2023-01-14,Madinah,29.7,2763,3532,188,12677,32.3
2023-01-14,Makkah,34.5,3168,4441,193,14826,38.4
2023-01-14,Riyadh,50.9,4191,5549,304,21166,53.2
2023-01-15,Dammam,35.7,3502,3910,198,14153,41.6
2023-01-15,Jeddah,41.9,3859,5014,224,18663,48.7
2023-01-15,Madinah,31.5,2591,3482,164,12988,30.8
2023-01-15,Makkah,32.1,3403,3894,180,13318,36.6
2023-01-15,Riyadh,44.3,4599,5875,309,19301,53.4
2023-01-16,Dammam,33.3,3253,3867,198,14324,40.8
2023-01-16,Jeddah,42.4,3605,4851,242,18590,48.0
2023-01-16,Madinah,26.3,2909,3254,168,13348,30.4
2023-01-16,Makkah,35.7,3243,4010,222,14648,40.9
2023-01-16,Riyadh,51.6,4153,5443,287,20274,57.9
2023-01-17,Dammam,33.1,3115,3814,215,13775,38.2
2023-01-17,Jeddah,38.5,4082,4636,245,17986,49.0
2023-01-17,Madinah,32.2,2783,3699,186,13274,33.8
2023-01-17,Makkah,34.9,3340,4243,212,14286,42.0
2023-01-17,Riyadh,47.7,4444,5373,308,22105,47.1
2023-01-18,Dammam,31.6,2840,3775,183,14764,37.0
2023-01-18,Jeddah,42.2,3998,,254,18876,47.1
2023-01-18,Madinah,28.8,2481,3694,190,12593,32.2
2023-01-18,Makkah,,3339,4563,228,14649,39.5
2023-01-18,Riyadh,48.6,4663,5750,269,20348,47.5
2023-01-19,Dammam,43.0,3895,4965,187,18915,49.6
2023-01-19,Jeddah,52.9,4540,5926,246,20490,51.4
2023-01-19,Madinah,37.5,2955,4702,194,13788,35.9
2023-01-19,Makkah,43.1,3717,4813,220,17029,47.4
2023-01-19,Riyadh,60.5,4503,6842,289,23199,68.6
2023-01-20,Dammam,40.3,3593,4904,195,15493,45.2
2023-01-20,Jeddah,46.7,,5435,262,20893,62.3
2023-01-20,Madinah,32.9,3595,4144,169,17095,39.7
2023-01-20,Makkah,42.2,3977,5201,208,18507,52.6
2023-01-20,Riyadh,55.9,4926,6675,242,23737,70.3
2023-01-21,Dammam,31.8,3017,3781,199,14285,35.7
2023-01-21,Jeddah,38.0,3947,5247,259,17653,45.1
2023-01-21,Madinah,27.0,2701,3630,185,11455,33.7
2023-01-21,Makkah,35.7,3191,4318,222,15490,41.6
2023-01-21,Riyadh,52.3,4677,5178,290,19792,49.5
2023-01-22,Dammam,33.5,3035,4230,191,15116,35.7
2023-01-22,Jeddah,42.8,3967,4839,251,19373,46.9
2023-01-22,Madinah,30.8,2618,3848,185,13103,33.8
2023-01-22,Makkah,34.0,3392,4361,220,16336,39.5
2023-01-22,Riyadh,51.9,4419,5737,,20779,56.2
2023-01-23,Dammam,35.7,3123,3806,190,14231,32.4
2023-01-23,Jeddah,43.1,3775,4757,252,16043,49.6
2023-01-23,Madinah,,2778,3436,174,12859,36.7
2023-01-23,Makkah,36.8,3491,4255,210,15555,41.4
2023-01-23,Riyadh,46.2,4388,5955,288,20668,49.7
2023-01-24,Dammam,34.4,3075,4160,211,14382,35.0
2023-01-24,Jeddah,39.6,3479,4756,263,16667,42.7
2023-01-24,Madinah,29.4,2783,3814,182,12490,35.0
2023-01-24,Makkah,36.2,3464,4193,198,16437,39.6
2023-01-24,Riyadh,47.7,4201,5490,253,20964,49.8
